
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:18:25:10:88:E0, 2015-04-02 17:35:49, 2015-04-02 17:37:21, 108,  -1,     ,       ,   , -77,        0,        0,   0.  0.  0.  0,   0, , 
24:C9:A1:B6:49:63, 2015-04-02 17:35:47, 2015-04-02 17:36:50,  9,  54, WPA2, CCMP,PSK, -97,       17,        0,   0.  0.  0.  0,   0, , 
9C:D6:43:22:06:3F, 2015-04-02 17:35:52, 2015-04-02 17:37:10,  6,  54, WEP , WEP,   , -97,       13,        0,   0.  0.  0.  0,   6, amit32, 
24:C9:A1:B6:51:D3, 2015-04-02 17:35:45, 2015-04-02 17:37:21,  1,  54, WPA2, CCMP,PSK, -97,       27,        0,   0.  0.  0.  0,  17, Mesh-521208000497, 
24:C9:A1:36:51:D8, 2015-04-02 17:35:45, 2015-04-02 17:37:21,  1,  54, OPN ,       ,   , -97,       54,        0,   0.  0.  0.  0,   6, kar-67, 
C4:04:15:19:66:BC, 2015-04-02 17:35:45, 2015-04-02 17:37:23, 11,  54, WPA2, CCMP,PSK, -74,      413,      613,   0.  0.  0.  0,   2, 50, 
24:C9:A1:36:49:68, 2015-04-02 17:35:47, 2015-04-02 17:37:23,  9,  54, OPN ,       ,   , -75,       25,      508, 172. 16. 16.224,   6, kar-56, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
48:74:6E:54:7D:F9, 2015-04-02 17:36:03, 2015-04-02 17:36:03, -97,        1, (not associated) ,
00:1D:0F:EA:97:11, 2015-04-02 17:35:49, 2015-04-02 17:36:11,  -1,        2, 00:18:25:10:88:E0,
D2:4A:00:AA:00:D1, 2015-04-02 17:36:11, 2015-04-02 17:37:21,  -1,        3, 00:18:25:10:88:E0,
F4:F1:5A:DE:EB:EE, 2015-04-02 17:36:32, 2015-04-02 17:37:13, -127,       13, C4:04:15:19:66:BC,
24:C9:A1:36:49:68, 2015-04-02 17:36:25, 2015-04-02 17:36:25, -97,        2, (not associated) , kar-56
48:5A:B6:2B:67:CF, 2015-04-02 17:35:47, 2015-04-02 17:37:23, -78,      508, 24:C9:A1:36:49:68,
70:72:0D:6D:4E:7E, 2015-04-02 17:36:54, 2015-04-02 17:37:05, -37,       36, C4:04:15:19:66:BC,
6C:70:9F:47:7F:47, 2015-04-02 17:36:33, 2015-04-02 17:36:33, -26,        1, C4:04:15:19:66:BC,
AC:7B:A1:A5:F3:3E, 2015-04-02 17:35:48, 2015-04-02 17:37:13, -23,      583, C4:04:15:19:66:BC,
00:1D:0F:EA:8E:AD, 2015-04-02 17:35:49, 2015-04-02 17:36:30,  -1,        2, 00:18:25:10:88:E0,


