
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
9C:D6:43:22:06:3F, 2015-04-02 17:32:07, 2015-04-02 17:33:17,  6,  54, WEP , WEP,   , -97,       15,        0,   0.  0.  0.  0,   6, amit32, 
00:18:25:01:72:40, 2015-04-02 17:32:10, 2015-04-02 17:32:32,  4,  54, OPN ,       ,   , -76,        0,        1,   0.  0.  0.  0,  15, Coolnet-Hotspot, 
24:C9:A1:F6:51:D3, 2015-04-02 17:32:00, 2015-04-02 17:32:22, 108,  -1, WPA ,       ,   ,  -1,        0,       22,   0.  0.  0.  0,   0, , 
00:18:25:10:88:E0, 2015-04-02 17:32:41, 2015-04-02 17:33:18, 108,  -1,     ,       ,   , -76,        0,        0,   0.  0.  0.  0,   0, , 
24:C9:A1:B6:49:63, 2015-04-02 17:31:56, 2015-04-02 17:33:19,  9,  54, WPA2, CCMP,PSK, -97,       11,        0,   0.  0.  0.  0,   0, , 
24:C9:A1:B6:51:D3, 2015-04-02 17:31:56, 2015-04-02 17:33:18,  1,  54, WPA2, CCMP,PSK, -97,       21,        0,   0.  0.  0.  0,   0, , 
24:C9:A1:36:51:D8, 2015-04-02 17:31:56, 2015-04-02 17:33:18,  1,  54, OPN ,       ,   , -97,       33,        0,   0.  0.  0.  0,   6, kar-67, 
24:C9:A1:36:49:68, 2015-04-02 17:31:56, 2015-04-02 17:33:19,  9,  54, OPN ,       ,   , -83,       36,      275, 172. 16. 16.113,   6, kar-56, 
C4:04:15:19:66:BC, 2015-04-02 17:31:57, 2015-04-02 17:33:20, 11,  54, WPA2, CCMP,PSK, -55,      281,      882,   0.  0.  0.  0,   2, 50, 
8C:0C:90:2F:77:B8, 2015-04-02 17:32:29, 2015-04-02 17:33:20, 158,  -1, OPN ,       ,   ,  -1,        0,       70, 172. 16. 24.171,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AC:7B:A1:A5:F3:3E, 2015-04-02 17:32:10, 2015-04-02 17:33:20, -127,      874, C4:04:15:19:66:BC,
60:21:C0:D2:8B:BF, 2015-04-02 17:32:03, 2015-04-02 17:33:20, -97,      465, 8C:0C:90:2F:77:B8, Eat&Go,cosmin,linkem,WiFi Frecciarossa,Alice-31073006,wi-fi4free,TISCALI,FirenzeWiFi,Pac Group Wi-Fi
48:5A:B6:2B:67:CF, 2015-04-02 17:31:56, 2015-04-02 17:33:19, -75,      278, 24:C9:A1:36:49:68, kar-56
F4:F1:5A:DE:EB:EE, 2015-04-02 17:32:10, 2015-04-02 17:32:47, -36,       10, C4:04:15:19:66:BC,
6C:70:9F:47:7F:47, 2015-04-02 17:32:32, 2015-04-02 17:32:32,  -1,        1, C4:04:15:19:66:BC,
D2:4A:00:A7:A8:2F, 2015-04-02 17:32:41, 2015-04-02 17:33:18,  -1,        5, 00:18:25:10:88:E0,
C4:04:15:19:66:BC, 2015-04-02 17:32:41, 2015-04-02 17:33:18,  -1,        5, 00:18:25:10:88:E0,

